id	title	year	rated	released	runtime	genre	director	writer	actors	plot	language	country	awards	poster	metascore	imdb_rating	imdb_votes	imdb_id	tomato_meter	tomato_image	tomato_rating	tomato_reviews	tomato_fresh	tomato_rotten	tomato_consensus	tomato_user_meter	tomato_user_rating	tomato_user_reviews	dvd	boxoffice	production	website
331	King of Comedy	1999	N/A	13 Feb 1999	89 min	Comedy, Drama, Romance	Stephen Chow, Lik-Chi Lee	Stephen Chow, Min Hun Fung, Erica Lee, Ka-Kit Leung, Kan-Cheung Tsang	Stephen Chow, Karen Mok, Cecilia Cheung, Man Tat Ng	N/A	Cantonese	Hong Kong	1 nomination.	http://ia.media-imdb.com/images/M/MV5BMTM0MzU0OTYxM15BMl5BanBnXkFtZTcwOTQ2MDgxMQ@@._V1_SX300.jpg	N/A	7.3	3448	tt0188766	N/A	N/A	N/A	N/A	N/A	N/A	N/A	70	3.6	6815	23 Jan 2001	N/A	N/A	N/A
332	The King's Speech	2010	R	25 Dec 2010	118 min	Biography, Drama, History	Tom Hooper	David Seidler (screenplay)	Colin Firth, Helena Bonham Carter, Derek Jacobi, Robert Portal	Tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stammer and considered unfit to be king, Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques, and as a result of an unlikely friendship, Bertie is able to find his voice and boldly lead the country through war.	English	UK, USA, Australia	Won 4 Oscars. Another 112 wins & 153 nominations.	http://ia.media-imdb.com/images/M/MV5BMzU5MjEwMTg2Nl5BMl5BanBnXkFtZTcwNzM3MTYxNA@@._V1_SX300.jpg	88	8.1	405140	tt1504320	94	certified	8.6	261	246	15	Colin Firth gives a masterful performance in The King's Speech, a predictable but stylishly produced and rousing period drama.	92	4.3	140508	19 Apr 2011	$138.8M	The Weinstein Company	http://www.kingsspeech.com/
333	The Kingdom	2007	R	28 Sep 2007	110 min	Action, Drama, Thriller	Peter Berg	Matthew Michael Carnahan	Jamie Foxx, Chris Cooper, Jennifer Garner, Jason Bateman	After a terrorist attack on an American housing compound in Riyadh, Saudi Arabia, where families and FBI Agent Francis Manner are murdered, FBI agent Ronald Fleury blackmails the Saudi Arabian consul to get five days of investigation in the location. He travels with agent Grant Sykes, Janet Mayes and Adam Leavitt to avenge their friend and try to find those responsible for the bombing. The agents find all sorts of difficulties in their investigation, but they are supported by Colonel Faris Al Ghazi that advises the team how to act in a hostile environment.	English, Arabic	USA, Germany	5 nominations.	http://ia.media-imdb.com/images/M/MV5BMjA1MDIzOTYwMV5BMl5BanBnXkFtZTcwMTM5OTA1MQ@@._V1_SX300.jpg	56	7.1	94836	tt0431197	51	rotten	5.8	182	92	90	While providing several top-notch action scenes, The Kingdom ultimately collapses under the weight of formula and muddled politics.	76	3.6	429766	23 Dec 2007	$47.5M	Universal Pictures	http://www.thekingdommovie.com/
334	Klute	1971	R	25 Jun 1971	114 min	Mystery, Thriller	Alan J. Pakula	Andy Lewis, David E. Lewis	Jane Fonda, Donald Sutherland, Charles Cioffi, Roy Scheider	Six months after the disappearance of Tuscarora, PA businessman Tom Gruneman, his boss, Peter Cable, and his wife, Holly Gruneman, hire Tom's best friend, private detective John Klute to find out what happened to Tom, as the police have been unable to do so, and despite John having no expertise in missing persons cases. The only lead is a typewritten obscene letter Tom purportedly sent to Manhattan actress/model/call girl Bree Daniel, who admits to having received such letters from someone, and since having received several obscene telephone calls as well. The suggestion/belief is that Tom was one of Bree's past johns, although she has no recollection of him when shown his photograph. Bree tricking is more a compulsion than a financial need. In their initial encounters, John and Bree do whatever they can to exert their psychological dominance over the other, especially as Bree initially refused to even speak to him. Despite their less than friendly start, they embark on a personal relationship based on emotional need, but it is a relationship Bree tries to sabotage because of those same issues which causes her to turn tricks. As they follow the leads through Bree's call girl world, they know they're getting close to finding the truth when someone starts to use psychological torture on Bree. They believe the key to Tom's disappearance is a john who once tried to kill her a few years earlier, but who as a person she doesn't remember. The questions become whether John and Bree can discover his identity and stop him before he tries to kill Bree again, and if they can whether there is an immediate future for them together.	English	USA	Won 1 Oscar. Another 5 wins & 5 nominations.	http://ia.media-imdb.com/images/M/MV5BMTc3NjI3ODc5M15BMl5BanBnXkFtZTYwMzA1OTA5._V1_SX300.jpg	N/A	7.2	13825	tt0067309	96	fresh	8.1	28	27	1	N/A	80	3.7	6345	05 Feb 2002	N/A	Warner Home Video	N/A
335	Kramer vs. Kramer	1979	APPROVED	19 Dec 1979	105 min	Drama	Robert Benton	Avery Corman (from the novel by), Robert Benton (written for the screen by)	Dustin Hoffman, Meryl Streep, Jane Alexander, Justin Henry	Ted Kramer is a career man for whom his work comes before his family. His wife Joanna cannot take this anymore, so she decides to leave him. Ted is now faced with the tasks of housekeeping and taking care of himself and their young son Billy. When he has learned to adjust his life to these new responsibilities, Joanna resurfaces and wants Billy back. Ted, however, refuses to give him up, so they go to court to fight for the custody of their son.	English	USA	Won 5 Oscars. Another 38 wins & 17 nominations.	http://ia.media-imdb.com/images/M/MV5BMjM1OTIyNzQ5Nl5BMl5BanBnXkFtZTgwNzQzMzcxMTE@._V1_SX300.jpg	77	7.8	85064	tt0079417	88	certified	7.8	41	36	5	The divorce subject isn't as shocking, but the film is still a thoughtful, well-acted drama that resists the urge to take sides or give easy answers.	89	3.7	42462	28 Aug 2001	N/A	Sony Pictures Home Entertainment	N/A
336	Kundun	1997	PG-13	25 Dec 1997	134 min	Biography, Drama, History	Martin Scorsese	Melissa Mathison	Tenzin Thuthob Tsarong, Gyurme Tethong, Tulku Jamyang Kunga Tenzin, Tenzin Yeshi Paichang	The Tibetans refer to the Dalai Lama as 'Kundun', which means 'The Presence'. He was forced to escape from his native home, Tibet, when communist China invaded and enforced an oppressive regime upon the peaceful nation of Tibet. The Dalai Lama escaped to India in 1959 and has been living in exile in Dharamsala ever since.	English, Tibetan, Mandarin	USA	Nominated for 4 Oscars. Another 6 wins & 8 nominations.	http://ia.media-imdb.com/images/M/MV5BMTg2NjM1MTI2Nl5BMl5BanBnXkFtZTgwMjA2MjgxMTE@._V1_SX300.jpg	74	7	20186	tt0119485	76	certified	7.4	58	44	14	N/A	79	3.7	11511	13 Oct 1998	N/A	Buena Vista Internationa	N/A
337	Labor of Love	1998	N/A	04 May 1998	96 min	N/A	Karen Arthur	Nina Shengold	Marcia Gay Harden, David Marshall Grant, Rod Wilson, Heidi von Palleske	N/A	English	USA	1 win & 1 nomination.	N/A	N/A	5.6	51	tt0159519	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
338	Ladykillers	1988	Approved	09 Nov 1988	96 min	Action, Thriller, Crime	Robert Michael Lewis	Gregory S. Dinallo	Marilu Henner, Susan Blakely, Thomas Calabro, William Lucking	A brutal live stage murder is committed on one of the hot male dancers at whats considered to be the hottest club in L.A., a place where the guys strip and the woman cheer.	English	USA	N/A	N/A	N/A	5	127	tt0095485	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
339	Lake Placid	1999	R	16 Jul 1999	82 min	Comedy, Horror	Steve Miner	David E. Kelley	Bill Pullman, Bridget Fonda, Oliver Platt, Brendan Gleeson	What happens when a man-eating crocodile begins picking off tourists in beautiful Lake Placid? What if the crocodile wants to make it his home?	English	USA	N/A	http://ia.media-imdb.com/images/M/MV5BODY0OTUzNzUzMF5BMl5BanBnXkFtZTYwMDg4Njg4._V1_SX300.jpg	34	5.6	38138	tt0139414	40	rotten	5	75	30	45	Faux horror schtick fails to elicit any laughs or scares.	36	2.6	125387	11 Jan 2000	N/A	20th Century Fox	http://www.foxmovies.com/lakeplacid
340	Larry Crowne	2011	PG-13	01 Jul 2011	98 min	Comedy, Drama, Romance	Tom Hanks	Tom Hanks, Nia Vardalos	Tom Hanks, Sarah Mahoney, Roxana Ortega, Randall Park	Until he was downsized, affable, amiable Larry Crowne (Hanks) was a superstar team leader at the big-box company where he's worked since his time in the Navy. Underwater on his mortgage and unclear on what to do with his suddenly free days, Larry heads to his local college to start over. There he becomes part of a colorful community of outcasts, also-rans and the overlooked all trying to find a better future for themselves...often moving around town in a herd of scooters. In his public-speaking class, Larry develops an unexpected crush on his teacher Mercedes Tainot (Roberts), who has lost as much passion for teaching as she has for her husband. The simple guy who has every reason to think his life has stalled will come to learn an unexpected lesson: when you think everything worth having has passed you by, you just might discover your reason to live.	English	USA	3 nominations.	http://ia.media-imdb.com/images/M/MV5BMTM1NzAyNTEwN15BMl5BanBnXkFtZTcwODYyNTEzNQ@@._V1._CR68,54,886,1396_SX89_AL_.jpg_V1_SX300.jpg	41	6	42642	tt1583420	35	rotten	5	190	67	123	Despite the relaxed, easy chemistry of stars Tom Hanks and Julia Roberts, Larry Crowne is surprisingly bland and conventional.	41	3.1	31937	15 Nov 2011	$35.6M	Universal Pictures	http://www.larrycrowne.com/
341	The Last Boy Scout	1991	R	13 Dec 1991	105 min	Action, Comedy, Crime	Tony Scott	Shane Black (story), Greg Hicks (story), Shane Black (screenplay)	Bruce Willis, Damon Wayans, Chelsea Field, Noble Willingham	A down and out cynical detective teams up with a down and out ex-quarterback to try and solve a murder case involving a pro football team and a politician.	English	USA	2 nominations.	http://ia.media-imdb.com/images/M/MV5BMTUxNjQxMTAwMV5BMl5BanBnXkFtZTcwNTI5ODMyMQ@@._V1_SX300.jpg	N/A	6.9	68700	tt0102266	44	rotten	5.3	32	14	18	N/A	68	3.3	59779	26 May 1998	N/A	Warner Home Video	N/A
342	Last Station	2010	N/A	05 Oct 2010	35 min	Documentary, Short	Hamidreza Mirhosseini	N/A	N/A	N/A	Persian, English, French	Iran, Switzerland	N/A	N/A	N/A	3.6	5	tt1738294	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
343	Last of the Mohicans	1977	N/A	23 Nov 1977	120 min	Action, Adventure, War	James L. Conway	Stephen Lord	Steve Forrest, Ned Romero, Andrew Prine, Don Shanks	During the French and Indian War in colonial America, a white scout, with two of his Indian brothers, helps a British officer escort two women through dangerous territory, with both French troops and hostile Indians after them.	English	USA	N/A	N/A	N/A	7.2	116	tt0076300	N/A	N/A	N/A	N/A	N/A	N/A	N/A	55	3.1	60	N/A	N/A	N/A	N/A
344	Law Abiding Citizen	2009	R	16 Oct 2009	109 min	Crime, Drama, Thriller	F. Gary Gray	Kurt Wimmer	Jamie Foxx, Gerard Butler, Colm Meaney, Bruce McGill	Clyde Shelton's family is brutally murdered. The ones responsible are caught. However, because of improper procedure, the D.A., Nick Rice only has circumstantial evidence. So he decides to get one of them to testify against the other. When Shelton learns of this, he is not happy. Ten years later, the one who was convicted is being executed but something goes wrong; his execution goes awry and he suffers. They learn that someone tampered with the machine. And the other one is found dead, killed in a gruesome manner. Rice suspects Shelton, so he has him picked up. At first, Shelton agrees to a plea agreement with Rice but changes his mind. It appears that Shelton is not done, it appears he blames the whole system and is declaring war on it going after everyone involved with his family's case. So Rice has to stop him but Shelton is way ahead of him.	English	USA	2 wins & 5 nominations.	http://ia.media-imdb.com/images/M/MV5BMTMyODY1NTg1N15BMl5BanBnXkFtZTcwMTUyODI4Mg@@._V1_SX300.jpg	34	7.4	191881	tt1197624	25	rotten	4.3	156	39	117	Unnecessarily violent and unflinchingly absurd, Law Abiding Citizen is plagued by subpar acting and a story that defies reason.	75	4	515883	16 Feb 2010	$73.3M	Overture Films	http://www.lawabidingcitizenfilm.com/
345	Legally Blonde	2001	PG-13	13 Jul 2001	96 min	Comedy, Romance	Robert Luketic	Amanda Brown (novel), Karen McCullah (screenplay), Kirsten Smith (screenplay)	Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis	Elle Woods (Reese Witherspoon) has it all. She's the president of her sorority, a Hawaiian Tropic girl, Miss June in her campus calendar, and, above all, a natural blonde. She dates the cutest fraternity boy on campus and wants nothing more than to be Mrs. Warner Huntington III. But, there's just one thing stopping Warner (Matthew Davis) from popping the question: Elle is too blonde. Growing up across the street from Aaron Spelling might mean something in LA, but nothing to Warner's East-Coast blue blood family. So, when Warner packs up for Harvard Law and reunites with an old sweetheart from prep school, Elle rallies all her resources and gets into Harvard, determined to win him back. But law school is a far cry from the comforts of her poolside and the mall. Elle must wage the battle of her life, for her guy, for herself and for all the blondes who suffer endless indignities everyday.	English	USA	Nominated for 2 Golden Globes. Another 6 wins & 10 nominations.	http://ia.media-imdb.com/images/M/MV5BNTEyNjUwMTkxMV5BMl5BanBnXkFtZTcwNjk0NDk0NA@@._V1_SX300.jpg	59	6.2	109919	tt0250494	N/A	N/A	N/A	N/A	N/A	N/A	N/A	52	3.4	478	31 Jan 2006	N/A	N/A	N/A
346	Legion	2010	R	22 Jan 2010	100 min	Action, Fantasy, Horror	Scott Stewart	Peter Schink, Scott Stewart	Paul Bettany, Lucas Black, Tyrese Gibson, Adrianne Palicki	An out-of-the-way diner becomes the unlikely battleground for the survival of the human race. When God loses faith in humankind, he sends his legion of angels to bring on the Apocalypse. Humanity's only hope lies in a group of strangers trapped in a desert diner with the Archangel Michael (Bettany).	English	USA	N/A	http://ia.media-imdb.com/images/M/MV5BMTMzNDg4NjYxOV5BMl5BanBnXkFtZTcwODQyNDg3Mg@@._V1_SX300.jpg	32	5.1	72925	tt1038686	19	rotten	3.8	101	19	82	Despite a solid cast and intermittent thrills, Legion suffers from a curiously languid pace, confused plot, and an excess of dialogue.	31	2.9	312240	11 May 2010	$40.2M	Screen Gems	http://www.legionmovie.com/
347	Leviathan	2014	R	05 Feb 2015	140 min	Drama	Andrey Zvyagintsev	Oleg Negin, Andrey Zvyagintsev	Elena Lyadova, Aleksey Serebryakov, Vladimir Vdovichenkov, Roman Madyanov	On the outskirts of a small coastal town in the Barents Sea, where whales sometimes come to its bay, lives an ordinary family: Kolya (Aleksey Serebryakov), his wife Lilya (Elena Lyadova) and their teenage son Romka. The family is haunted by a local corrupted mayor (Roman Madyanov), who is trying to take away the land, a house and a small auto repair shop from Kolya. To save their homes Kolya calls his old Army friend in Moscow (Vladimir Vdovichenkov), who has now become an authoritative attorney. Together they decide to fight back and collect dirt on the mayor.	Russian	Russia	Nominated for 1 Oscar. Another 20 wins & 30 nominations.	http://ia.media-imdb.com/images/M/MV5BMjAwMTY3MTU0Ml5BMl5BanBnXkFtZTgwNzE0ODAwMzE@._V1_SX300.jpg	92	7.8	16344	tt2802154	99	certified	8.6	109	108	1	Leviathan lives up to its title, offering trenchant, well-crafted social satire on a suitably grand scale.	81	4	11463	18 May 2015	N/A	Sony Pictures Classics	http://sonyclassics.com/leviathan/
348	Liar Liar	1997	PG-13	21 Mar 1997	86 min	Comedy	Tom Shadyac	Paul Guay, Stephen Mazur	Jim Carrey, Maura Tierney, Justin Cooper, Cary Elwes	Fletcher Reede, a fast talking attorney, habitual liar, and divorced father is an incredibly successful lawyer who has built his career by lying. He has a habit of giving precedence to his job and always breaking promises to be with his favorite young son Max, but Fletcher lets Max down once too often, for missing his own son's birthday party. But until then at 8:15 Max has decided to make an honest man out of him as he wishes for one whole day his dad couldn't tell a lie. When the wish comes true all Fletcher can do is tell the truth and cannot tell one lie. Uh-oh for Fletcher!	English	USA	Nominated for 1 Golden Globe. Another 4 wins & 5 nominations.	http://ia.media-imdb.com/images/M/MV5BMjEzMzA3NzgwNF5BMl5BanBnXkFtZTcwNzQ4MDgyMQ@@._V1_SX300.jpg	68	6.8	189782	tt0119528	81	certified	6.9	53	43	10	Despite its thin plot, Liar Liar is elevated by Jim Carrey's exuberant brand of physical humor, and the result is a laugh riot that helped to broaden the comedian's appeal.	75	3.4	986851	20 Jan 1998	N/A	Universal Pictures	N/A
349	Life as a House	2001	R	09 Nov 2001	125 min	Drama	Irwin Winkler	Mark Andrus	Kevin Kline, Kristin Scott Thomas, Hayden Christensen, Jena Malone	George Monroe is a lonely and sad man. Divorced for ten years, he lives alone on the Southern California coast with his pet dog in the same run down shack he has lived in for twenty-five years, the shack which his father passed down to him. In the intervening years, ostentatious houses have sprung up around him. He's been at the same architectural firm for twenty years in a job he hates, which primarily consists of building scale models. On the day that he is fired from his job, he is diagnosed with an advanced case of terminal cancer, which he chooses not to disclose to his family. In many ways, this day is the happiest of his recent life in that he decides to spend what little time he has left doing what he really wants to do, namely build a house he can call his own to replace the shack. He also wants his rebellious sixteen year old son, Sam Monroe, to live with him for the summer, hopefully not only to help in the house construction, but for the two to reconnect as a family. Getting Sam to do any of it will not be an easy task as Sam, who has embarked on some self-destructive behavior, would rather do anything than spend time with his family, which also includes his mother Robin Kimball, her wealthy but emotionally unaffectionate husband Peter Kimball, and their adolescent children. In Sam, George sees an unhappy person in every aspect of his life, much like George was himself before that fateful day. What Sam decides to do for the summer may consider Alyssa Beck, his pretty classmate and George's next door neighbor. Through the process, George also reconnects with Robin, who admits that she's made some pretty bad decisions in her life. He may not want that reconnection to go too far considering his health. Ultimately George has much to do to complete all he wants before he dies.	English	USA	Nominated for 1 Golden Globe. Another 3 wins & 7 nominations.	http://ia.media-imdb.com/images/M/MV5BMTcxMDQ0ODU0OV5BMl5BanBnXkFtZTYwMDcyODU3._V1_SX300.jpg	45	7.5	37210	tt0264796	47	rotten	5.3	105	49	56	A manipulative tearjerker, Life as a House benefits from fine performances from the cast.	89	3.8	56874	26 Mar 2002	$15.4M	New Line Cinema	http://www.lifeasahouse.com
350	Life	1999	R	16 Apr 1999	108 min	Comedy, Crime, Drama	Ted Demme	Robert Ramsey, Matthew Stone	Eddie Murphy, Martin Lawrence, Obba Babatund, Nick Cassavetes	In the mid-1990s, two inmates bury the burned bodies of two lifers at Mississippi's infamous Parchman Farm; a third old-timer relates their story. They'd served 65 years for a murder they didn't commit, framed by a local sheriff while buying moonshine whiskey for a Manhattan club owner to whom they owed money. In flashbacks we see this odd couple thrown together (Ray is a fast-talking con man, and Claude is a serious man about to start work as a bank teller), the loss of Ray's watch (sterling silver, from his daddy), the murder and trial, the hardships of Parchman, and the love-hate relationship of Claude and Ray as they spend 65 years bickering and looking for a way to escape.	English	USA	Nominated for 1 Oscar. Another 1 win & 5 nominations.	http://ia.media-imdb.com/images/M/MV5BMjAwMTEwMDAwMl5BMl5BanBnXkFtZTcwODk4NDgyMQ@@._V1_SX300.jpg	63	6.6	30760	tt0123964	50	rotten	5.7	54	27	27	Entertaining if not over-the-top humor from a solid comic duo provides plenty of laughs.	77	3.2	49881	19 Oct 1999	N/A	Universal Pictures	http://www.universalpictures.com/life
351	The Life of David Gale	2003	R	21 Feb 2003	130 min	Crime, Drama, Thriller	Alan Parker	Charles Randolph	Kate Winslet, Cleo King, Constance Jones, Kevin Spacey	When anti-death-penalty activist David Gale is convicted and condemned to death for the murder of a colleague, reporter Bitsey Bloom sets out to learn the story behind Gale's crime. What she finds challenges her belief in Gale's guilt and, finally, in the justice system.	English, Spanish	USA, Germany, UK	3 nominations.	http://ia.media-imdb.com/images/M/MV5BMTAxMzU0NTgxNzZeQTJeQWpwZ15BbWU2MDQzNDkxNw@@._V1_SX300.jpg	31	7.5	78741	tt0289992	19	rotten	4.2	157	30	127	Instead of offering a convincing argument against the death penalty, this implausible, convoluted thriller pounds the viewer over the head with its message.	81	3.6	60387	22 Jul 2003	$19.6M	Universal Pictures	http://www.thelifeofdavidgale.com
352	Light Sleeper	1992	R	13 Mar 1992	103 min	Crime, Drama	Paul Schrader	Paul Schrader	Willem Dafoe, Susan Sarandon, Dana Delany, David Clennon	A drug dealer with upscale clientele is having moral problems going about his daily deliveries. A reformed addict, he has never gotten over the wife that left him, and the couple that use him for deliveries worry about his mental well-being and his effectiveness at his job. Meanwhile someone is killing women in apparently drug-related incidents.	English	USA	2 wins & 5 nominations.	http://ia.media-imdb.com/images/M/MV5BMTM3MDU4NzMzMV5BMl5BanBnXkFtZTcwMzExNzEwMg@@._V1_SX300.jpg	N/A	6.7	3140	tt0102307	89	fresh	7.3	37	33	4	Light Sleeper requires patience, but delivers commensurate rewards -- and boasts an absorbing performance from Willem Dafoe.	63	3.3	2014	29 Dec 1998	N/A	Live Home Video	N/A
353	The Limey	1999	R	04 Aug 1999	89 min	Crime, Drama, Mystery	Steven Soderbergh	Lem Dobbs	Terence Stamp, Lesley Ann Warren, Luis Guzmn, Barry Newman	An ex-con, fresh out of prison, goes to L.A. to try to learn who murdered his daughter. However, he quickly finds that he is completely out of place with no understanding of the culture he finds. His investigations are helped by another ex-con. Together they learn that his daughter had been having an affair with a record producer, who is presently having an affair with another young woman. An aging actress, who also knew his daughter, forces him to look at his own failures as a father. The movie does focus on the drama of the situation and the inter-relationships of the characters and seldom slips into an action piece.	English	USA	2 wins & 8 nominations.	http://ia.media-imdb.com/images/M/MV5BMTIwNDE3MjY4NF5BMl5BanBnXkFtZTcwNTI2NjYyMQ@@._V1_SX300.jpg	73	7.1	22774	tt0165854	93	certified	7.5	80	74	6	Crafted with eccentric moodiness and style by Steven Soderbergh, The Limey is also a gritty neo-noir showcase for the talent of leading man Terence Stamp.	79	3.6	11083	20 Feb 2001	N/A	Artisan Pictures	http://www.limey-themovie.com
354	Little Nicky	2000	PG-13	10 Nov 2000	90 min	Comedy, Fantasy	Steven Brill	Tim Herlihy, Adam Sandler, Steven Brill	Adam Sandler, Patricia Arquette, Harvey Keitel, Rhys Ifans	When somebody's mother is an angel and his father is the devil, life can be really confusing. For a sweet boy like Little Nicky, it just got a whole lot worse. His two evil brothers Adrian and Cassius have just escaped from Hell and are wreaking havoc on an unsuspecting earth. His dad is disintegrating and it's up to Nicky to save him and all of a humanity by midnight before one of his brothers becomes the new Satan.	English	USA	7 nominations.	http://ia.media-imdb.com/images/M/MV5BMTQ4MTk3Mzk5NV5BMl5BanBnXkFtZTYwMTQ3NzI3._V1_SX300.jpg	38	5.3	72946	tt0185431	22	rotten	3.9	115	25	90	Despite the presence of a large, talented cast, the jokes in Little Nicky are dumb, tasteless, and not that funny, and Adam Sandler's character is grating to watch.	56	3	459560	24 Apr 2001	$38.5M	New Line Cinema	http://www.littlenicky.com
355	Living in Oblivion	1995	R	21 Jul 1995	90 min	Comedy, Drama	Tom DiCillo	Tom DiCillo	Steve Buscemi, Catherine Keener, Dermot Mulroney, Danielle von Zerneck	Film about filmmaking. It takes place during one day on set of non-budget movie. Ultimate tribute to all independent filmmakers.	English	USA	7 wins & 6 nominations.	http://ia.media-imdb.com/images/M/MV5BMTQ3NjAwMDc3MV5BMl5BanBnXkFtZTcwNDg2NTgxMQ@@._V1_SX300.jpg	N/A	7.6	11673	tt0113677	87	fresh	7.4	31	27	4	N/A	86	3.8	7648	11 Feb 2003	N/A	Sony Pictures Home Entertainment	N/A
356	Lone Star	1996	R	21 Jun 1996	135 min	Drama, Mystery, Romance	John Sayles	John Sayles	Stephen Mendillo, Stephen J. Lang, Chris Cooper, Elizabeth Pea	John Sayles' murder-mystery explores interpersonal and interracial tensions in Rio County, Texas. Sam Deeds is the local sheriff who is called to investigate a 40-year-old skeleton found in the desert....As Sam delves deeper into the town's dark secrets, he begins to learn more about his father, the legendary former sheriff Buddy Deeds, who replaced the corrupt Charlie Wade. While Sam puzzles out the long-past events surrounding the mystery corpse, he also longs to rekindle a romance with his old high-school flame. Sayles' complex characters are brought together as the tightly woven plot finally draws to its dramatic close.	English, Spanish	USA	Nominated for 1 Oscar. Another 17 wins & 13 nominations.	http://ia.media-imdb.com/images/M/MV5BMTU3OTI2OTk0N15BMl5BanBnXkFtZTcwMTU3OTYxMQ@@._V1_SX300.jpg	78	7.6	21320	tt0116905	93	certified	8.6	46	43	3	Smart and absorbing, Lone Star represents a career high point for writer-director John Sayles -- and '90s independent cinema in general.	84	3.8	9256	09 Nov 1999	N/A	Sony Pictures Home Entertainment	N/A
357	Long Kiss Goodnight	2011	Not Rated	17 Dec 2011	10 min	Short, Thriller	Louis Levy	Philippe Guez, Louis Levy	Diego Benavente, Carson Grant, Michele McNally, Sandra Van Essche	A comic twist on the legal advice given by a family lawyer when husband confesses to the murder of his unfaithful wife.	English	USA	N/A	N/A	N/A	N/A	N/A	tt2599172	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
358	Lord of Illusions	1995	R	25 Aug 1995	109 min	Horror, Mystery, Thriller	Clive Barker	Clive Barker (story), Clive Barker (screenplay)	Scott Bakula, Kevin J. O'Connor, Joseph Latimore, Sheila Tousey	During a routine case in L.A., NY private investigator Harry D'Amour stumbles over members of a fanatic cult, who are waiting for the resurrection of their leader Nix. 13 years ago, Nix was calmed down by his best trainee Swann. In the meantime Swann is advanced to a popular illusionist like David Copperfield and is married to the charming Dorothea. She hires D'Amour to protect Swann against the evil cult members. A short time later Swann is killed by one of his own tricks and the occurrences are turning over, and it crackles between Dorothea and D'Amour.	English	USA	2 wins & 1 nomination.	http://ia.media-imdb.com/images/M/MV5BNDg1OTc0MDQwNl5BMl5BanBnXkFtZTcwMjQ3NDk0NA@@._V1_SX300.jpg	N/A	6	10207	tt0113690	62	fresh	5.4	21	13	8	N/A	52	3.1	11103	29 Sep 1998	N/A	MGM Home Entertainment	N/A
359	Lord of War	2005	R	16 Sep 2005	122 min	Crime, Drama, Thriller	Andrew Niccol	Andrew Niccol	Nicolas Cage, Bridget Moynahan, Jared Leto, Shake Tukhmanyan	This film charts the rise and fall of Yuri Orlov, from his early days in the early 1980s in Little Odessa, selling guns to mobsters in his local neighbourhood, through to his ascension through the decade of excess and indulgence into the early 90s, where he forms a business partnership with an African warlord and his psychotic son. The film also charts his relationship through the years with his younger brother, his marriage to a famous model, his relentless pursuit by a determined federal agent and his inner demons that sway between his drive for success and the immorality of what he does.	English, Ukrainian, German, Spanish, Russian, French, Arabic, Turkish	USA, Germany, France	2 wins & 1 nomination.	http://ia.media-imdb.com/images/M/MV5BMjEzNDM2OTgzN15BMl5BanBnXkFtZTcwMzU3MTIzMQ@@._V1_SX300.jpg	62	7.6	227595	tt0399295	61	fresh	6.2	142	87	55	While Lord of War is an intelligent examination of the gun trade, it is too scattershot in its plotting to connect.	85	3.6	388657	17 Jan 2006	$24.0M	Lions Gate	http://www.lordofwarthemovie.com/
360	Lost Highway	1997	R	21 Feb 1997	134 min	Drama, Mystery, Thriller	David Lynch	David Lynch, Barry Gifford	Bill Pullman, Patricia Arquette, John Roselius, Louis Eppolito	Fred Madison, a saxophonist, is accused under mysterious circumstances of murdering his wife Renee. On death row, he inexplicably morphs into a young man named Pete Dayton, leading a completely different life. When Pete is released, his and Fred's paths begin to cross in a surreal, suspenseful web of intrigue, orchestrated by a shady gangster boss named Dick Laurent.	English	France, USA	1 win.	http://ia.media-imdb.com/images/M/MV5BMTk3MzUxOTQyNF5BMl5BanBnXkFtZTgwODM3Mjc1MDE@._V1_SX300.jpg	52	7.7	86905	tt0116922	60	fresh	6.2	42	25	17	N/A	87	3.8	56696	25 Mar 2008	N/A	Universal Pictures	N/A
